scope,height_m,nmse,mean_error_norm,mean_error_encoded,mae_norm,rmse_norm,mae_encoded,rmse_encoded,psnr_db,ssim,eval_rx_count,strategy,round,sampled_rx_count,sampled_ratio,new_budget_rx_count,eval_scope
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,random,0,205,0.050048828125,0,unmeasured_rx
overall,,0.0008343573574481272,-0.018088825404972628,-4.61265047826802,0.018089491962979678,0.018731110442407186,4.612820450559818,4.776433162813833,34.54872950885972,0.9783557895124309,3809,random,1,287,0.070068359375,82,unmeasured_rx
overall,,0.000757527159654489,-0.017188245948850867,-4.383002716956971,0.017189491169363746,0.017847350260367472,4.383320248187755,4.551074316393706,34.968525061872796,0.9788824733759939,3727,random,2,369,0.090087890625,82,unmeasured_rx
overall,,0.0007548493373944931,-0.017165689573039405,-4.377250841125049,0.017166134457529326,0.017815231581927493,4.3773642866699785,4.542884053391511,34.98417055680152,0.9785939984748006,3645,random,3,451,0.110107421875,82,unmeasured_rx
overall,,0.0008064233576255587,-0.017764479181186357,-4.5299421912025215,0.017764479181186357,0.018414294879191835,4.5299421912025215,4.695645194193918,34.696898130196104,0.9779691366275799,3563,random,4,533,0.130126953125,82,unmeasured_rx
overall,,0.0008372252411405565,-0.01812844204854705,-4.622752722379498,0.018128570915124636,0.018762610253140913,4.622785583356782,4.784465614550933,34.53413485466431,0.9779190026885594,3481,random,5,615,0.150146484375,82,unmeasured_rx
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,uniform_grid,0,205,0.050048828125,0,unmeasured_rx
overall,,0.0009195990143295397,-0.01904843859110457,-4.857351840731665,0.01904929477607024,0.019666411578870797,4.8575701678979115,5.0149349526120535,34.12549752318489,0.9782452596527744,3809,uniform_grid,1,287,0.070068359375,82,unmeasured_rx
overall,,0.0008636593308391378,-0.01842136932564447,-4.6974491780393395,0.01842247281920216,0.01905932800437509,4.697730568896551,4.860128641115648,34.397848316489664,0.9785924696437681,3727,uniform_grid,2,369,0.090087890625,82,unmeasured_rx
overall,,0.0009060025528596601,-0.018890464665631372,-4.817068489736,0.018890464665631372,0.019521288251265947,4.817068489736,4.977928504072817,34.1898305141703,0.9781857487102303,3645,uniform_grid,3,451,0.110107421875,82,unmeasured_rx
