strategy,round,rx_id,selection_phase,rx_col,rx_row,rx_height_m,signal_true_norm,signal_pred_norm,building_density_nearby,path_building_ratio_simple
random,0,r240_c32_z100,initial,32.0,240.0,100.0,0.63529414,0.6313318,0.0,0.0
random,0,r304_c256_z110,initial,256.0,304.0,110.0,0.6509804,0.6377591,0.8,0.0
random,0,r208_c160_z110,initial,160.0,208.0,110.0,0.6509804,0.62954664,0.0,0.0
random,0,r128_c368_z110,initial,368.0,128.0,110.0,0.6509804,0.63548833,0.2,0.0
random,0,r368_c208_z130,initial,208.0,368.0,130.0,0.6431373,0.6351592,0.12,0.0
random,0,r320_c496_z120,initial,496.0,320.0,120.0,0.6509804,0.6248631,0.0,0.0006291946
random,0,r368_c96_z110,initial,96.0,368.0,110.0,0.654902,0.6404708,0.0,0.0
random,0,r240_c384_z120,initial,384.0,240.0,120.0,0.6509804,0.6311829,0.24,0.0
random,0,r64_c224_z130,initial,224.0,64.0,130.0,0.6431373,0.6295667,0.32,0.0
random,0,r192_c32_z130,initial,32.0,192.0,130.0,0.6431373,0.628325,0.0,0.0006291946
random,0,r496_c208_z130,initial,208.0,496.0,130.0,0.6392157,0.6227197,0.0,0.0
random,0,r208_c240_z120,initial,240.0,208.0,120.0,0.64705884,0.62746197,0.2,0.0
random,0,r240_c432_z130,initial,432.0,240.0,130.0,0.64705884,0.62672764,0.0,0.0
random,0,r64_c0_z120,initial,0.0,64.0,120.0,0.627451,0.61874074,0.0,0.0
random,0,r144_c176_z130,initial,176.0,144.0,130.0,0.6431373,0.62786317,0.92,0.0
random,0,r448_c0_z120,initial,0.0,448.0,120.0,0.64705884,0.62637913,0.0,0.0
random,0,r416_c496_z130,initial,496.0,416.0,130.0,0.6392157,0.6224537,0.0,0.0
random,0,r112_c272_z130,initial,272.0,112.0,130.0,0.64705884,0.626613,0.76,0.0
random,0,r304_c240_z120,initial,240.0,304.0,120.0,0.6509804,0.6380841,0.64,0.0
random,0,r256_c48_z100,initial,48.0,256.0,100.0,0.6431373,0.6334146,0.0,0.0
random,0,r384_c480_z100,initial,480.0,384.0,100.0,0.654902,0.6261505,0.76,0.0
random,0,r352_c464_z110,initial,464.0,352.0,110.0,0.654902,0.6281112,1.0,0.0006291946
random,0,r320_c64_z120,initial,64.0,320.0,120.0,0.64705884,0.6377163,0.04,0.0
random,0,r208_c240_z100,initial,240.0,208.0,100.0,0.654902,0.6288754,0.2,0.0
random,0,r160_c208_z110,initial,208.0,160.0,110.0,0.6509804,0.6311261,0.24,0.0
random,0,r496_c464_z110,initial,464.0,496.0,110.0,0.6313726,0.6161498,0.0,0.0
random,0,r480_c64_z130,initial,64.0,480.0,130.0,0.6392157,0.62165666,0.0,0.0
random,0,r48_c272_z110,initial,272.0,48.0,110.0,0.6509804,0.6339888,1.0,0.0
random,0,r400_c208_z110,initial,208.0,400.0,110.0,0.6509804,0.633617,0.24,0.0006291946
random,0,r352_c432_z110,initial,432.0,352.0,110.0,0.64705884,0.6278518,0.24,0.0006291946
random,0,r176_c208_z100,initial,208.0,176.0,100.0,0.6509804,0.63124746,0.0,0.0
random,0,r400_c384_z120,initial,384.0,400.0,120.0,0.64705884,0.6242475,0.32,0.0006291946
random,0,r64_c192_z100,initial,192.0,64.0,100.0,0.654902,0.63060313,1.0,0.0006291946
random,0,r464_c304_z120,initial,304.0,464.0,120.0,0.6509804,0.6249385,0.04,0.0006291946
